Geração;Fitness;
0;39236,88489845504;
0;34886,05915780578;
1;33732,829710922146;
2;33732,829710922146;
3;33732,829710922146;
4;33732,829710922146;
5;33732,829710922146;
6;33732,829710922146;
7;33732,829710922146;
8;33732,829710922146;
9;33732,829710922146;
10;33732,829710922146;
11;33732,829710922146;
12;33732,829710922146;
13;33732,829710922146;
14;33732,829710922146;
15;33732,829710922146;
16;33732,829710922146;
17;33732,829710922146;
18;33732,829710922146;
19;33732,829710922146;
20;33732,829710922146;
21;33732,829710922146;
22;33732,829710922146;
23;33732,829710922146;
24;33732,829710922146;
25;33732,829710922146;
26;33732,829710922146;
27;33732,829710922146;
28;33732,829710922146;
29;33732,829710922146;
30;33732,829710922146;
31;33732,829710922146;
32;33732,829710922146;
33;33732,829710922146;
34;33732,829710922146;
35;33732,829710922146;
36;33732,829710922146;
37;33732,829710922146;
38;33732,829710922146;
39;33732,829710922146;
40;33732,829710922146;
41;33732,829710922146;
42;33732,829710922146;
43;33732,829710922146;
44;33732,829710922146;
45;33732,829710922146;
46;33732,829710922146;
47;33732,829710922146;
48;33732,829710922146;
49;33732,829710922146;
50;33711,538746789425;
51;33711,538746789425;
52;33711,538746789425;
53;33711,538746789425;
54;33711,538746789425;
55;33711,538746789425;
56;33711,538746789425;
57;33711,538746789425;
58;33711,538746789425;
59;33711,538746789425;
60;33711,538746789425;
61;33711,538746789425;
62;33711,538746789425;
63;33711,538746789425;
64;33711,538746789425;
65;33711,538746789425;
66;33711,538746789425;
67;33711,538746789425;
68;33711,538746789425;
69;33711,538746789425;
70;33711,538746789425;
71;33711,538746789425;
72;33711,538746789425;
73;33711,538746789425;
74;33711,538746789425;
75;33711,538746789425;
76;33711,538746789425;
77;33711,538746789425;
78;33711,538746789425;
79;33711,538746789425;
80;33711,538746789425;
81;33711,538746789425;
82;33711,538746789425;
83;33711,538746789425;
84;33711,538746789425;
85;33711,538746789425;
86;33711,538746789425;
87;33711,538746789425;
88;33711,538746789425;
89;33711,538746789425;
90;33711,538746789425;
91;33711,538746789425;
92;33711,538746789425;
93;33711,538746789425;
94;33701,261761272595;
95;33701,261761272595;
96;33701,261761272595;
97;33701,261761272595;
98;33701,261761272595;
99;33701,261761272595;
