Geração;Fitness;
0;2,7881547994459987E7;
0;2,516477228399776E7;
1;2,4958758753216702E7;
2;2,4958758753216702E7;
3;2,4958758753216702E7;
4;2,4958758753216702E7;
5;2,4958758753216702E7;
6;2,4958758753216702E7;
7;2,4958758753216702E7;
8;2,4958758753216702E7;
9;2,4958758753216702E7;
10;2,4958758753216702E7;
11;2,4958758753216702E7;
12;2,4876700210805207E7;
13;2,4876700210805207E7;
14;2,4876700210805207E7;
15;2,4876700210805207E7;
16;2,4876700210805207E7;
17;2,4876700210805207E7;
18;2,4876700210805207E7;
19;2,4876700210805207E7;
20;2,4876700210805207E7;
21;2,4876700210805207E7;
22;2,4876700210805207E7;
23;2,4876700210805207E7;
24;2,4876700210805207E7;
25;2,4876700210805207E7;
