Geração;Fitness;
0;313891,909895968;
0;276793,34347003023;
0;313765,3734999652;
0;279970,22481754894;
0;314371,6475430452;
0;313765,3734999652;
0;283985,7331563447;
1;283668,795597523;
2;281067,3153226569;
3;281037,2223063015;
4;278619,8784584081;
5;278619,8784584081;
6;278619,8784584081;
7;278619,8784584081;
8;278619,8784584081;
9;278619,8784584081;
10;278619,8784584081;
11;278619,8784584081;
12;278619,8784584081;
13;278619,8784584081;
14;278619,8784584081;
15;278558,3094014727;
16;278558,3094014727;
17;278558,3094014727;
18;278558,3094014727;
19;278558,3094014727;
20;278558,3094014727;
21;278558,3094014727;
22;278558,3094014727;
23;278558,3094014727;
24;278558,3094014727;
25;278558,3094014727;
26;278558,3094014727;
27;278558,3094014727;
28;278558,3094014727;
29;278558,3094014727;
30;278558,3094014727;
31;278558,3094014727;
32;278558,3094014727;
33;277131,46516924305;
34;277131,46516924305;
35;277131,46516924305;
36;277131,46516924305;
37;277131,46516924305;
38;277131,46516924305;
39;277131,46516924305;
40;277131,46516924305;
41;277131,46516924305;
42;277131,46516924305;
43;277131,46516924305;
44;277131,46516924305;
45;277131,46516924305;
0;313765,3734999652;
0;315596,5873942433;
0;276422,06921921554;
1;276422,06921921554;
2;276422,06921921554;
3;276422,06921921554;
4;274839,2105876166;
5;274839,2105876166;
6;274839,2105876166;
7;274839,2105876166;
8;274839,2105876166;
9;274839,2105876166;
10;274839,2105876166;
0;314538,80242757854;
0;281260,15978226956;
1;277242,3731207951;
2;277242,3731207951;
3;277242,3731207951;
4;277242,3731207951;
5;277242,3731207951;
6;277242,3731207951;
7;277242,3731207951;
8;277242,3731207951;
9;277242,3731207951;
10;277242,3731207951;
11;277242,3731207951;
12;276240,61702479137;
13;276240,61702479137;
14;276240,61702479137;
15;276240,61702479137;
16;276240,61702479137;
17;276240,61702479137;
18;276240,61702479137;
19;276240,61702479137;
20;276240,61702479137;
21;276240,61702479137;
22;276240,61702479137;
23;276240,61702479137;
24;276240,61702479137;
25;275856,6515681777;
26;275856,6515681777;
27;275856,6515681777;
28;275856,6515681777;
29;275856,6515681777;
30;275856,6515681777;
31;275856,6515681777;
32;275856,6515681777;
33;275856,6515681777;
34;275856,6515681777;
35;275856,6515681777;
36;275856,6515681777;
37;275856,6515681777;
38;275856,6515681777;
39;275856,6515681777;
40;275856,6515681777;
41;275856,6515681777;
42;275856,6515681777;
43;275856,6515681777;
44;274731,5072735953;
45;274731,5072735953;
46;274731,5072735953;
47;274731,5072735953;
48;274731,5072735953;
49;274731,5072735953;
50;274731,5072735953;
51;274731,5072735953;
52;274731,5072735953;
53;274731,5072735953;
54;274731,5072735953;
55;274731,5072735953;
56;274731,5072735953;
57;274731,5072735953;
58;273139,8844023032;
59;273139,8844023032;
60;273139,8844023032;
61;273139,8844023032;
62;273139,8844023032;
63;273139,8844023032;
64;273139,8844023032;
65;273139,8844023032;
66;273139,8844023032;
67;273139,8844023032;
68;273139,8844023032;
69;273139,8844023032;
70;273139,8844023032;
71;273139,8844023032;
72;273139,8844023032;
73;273139,8844023032;
74;273139,8844023032;
75;273139,8844023032;
76;273139,8844023032;
77;273139,8844023032;
78;273139,8844023032;
79;273139,8844023032;
80;273139,8844023032;
81;273139,8844023032;
82;273139,8844023032;
83;273139,8844023032;
84;273139,8844023032;
85;273139,8844023032;
86;273139,8844023032;
87;273139,8844023032;
88;273139,8844023032;
89;273139,8844023032;
90;273139,8844023032;
91;273139,8844023032;
92;273139,8844023032;
93;273139,8844023032;
94;273139,8844023032;
95;273139,8844023032;
96;273139,8844023032;
97;273139,8844023032;
98;273139,8844023032;
99;273139,8844023032;
0;315629,1910869476;
0;283101,5856313952;
1;282156,87747276697;
2;280936,1143512738;
3;280936,1143512738;
4;280936,1143512738;
5;280936,1143512738;
6;277360,2186003378;
7;277360,2186003378;
8;277360,2186003378;
9;277360,2186003378;
10;277360,2186003378;
11;277360,2186003378;
12;277360,2186003378;
13;277360,2186003378;
14;277360,2186003378;
15;277360,2186003378;
16;277360,2186003378;
17;277360,2186003378;
18;277360,2186003378;
19;277360,2186003378;
20;277360,2186003378;
21;277360,2186003378;
22;277360,2186003378;
23;277360,2186003378;
24;277360,2186003378;
25;277360,2186003378;
26;277360,2186003378;
27;277360,2186003378;
28;277360,2186003378;
29;277360,2186003378;
30;277360,2186003378;
31;277360,2186003378;
32;277360,2186003378;
33;277360,2186003378;
34;277360,2186003378;
35;277360,2186003378;
36;277360,2186003378;
37;277360,2186003378;
38;277360,2186003378;
39;277360,2186003378;
40;277360,2186003378;
41;277360,2186003378;
42;277360,2186003378;
43;277360,2186003378;
44;277360,2186003378;
45;277360,2186003378;
46;277360,2186003378;
47;277360,2186003378;
48;273936,006888978;
49;273936,006888978;
50;273936,006888978;
51;273936,006888978;
52;273936,006888978;
53;273936,006888978;
54;273936,006888978;
55;273936,006888978;
56;273936,006888978;
57;273936,006888978;
58;273936,006888978;
59;273936,006888978;
60;273936,006888978;
61;273936,006888978;
62;273936,006888978;
63;273936,006888978;
64;273936,006888978;
65;273936,006888978;
66;273936,006888978;
67;273936,006888978;
68;273936,006888978;
69;273936,006888978;
70;273936,006888978;
71;273936,006888978;
72;273936,006888978;
73;273936,006888978;
74;273751,33245545754;
75;273751,33245545754;
76;273751,33245545754;
77;273751,33245545754;
78;273751,33245545754;
79;273751,33245545754;
80;273751,33245545754;
81;273751,33245545754;
82;273751,33245545754;
83;273751,33245545754;
84;273751,33245545754;
85;273751,33245545754;
86;273751,33245545754;
87;273751,33245545754;
88;273751,33245545754;
89;273751,33245545754;
90;273751,33245545754;
91;273751,33245545754;
92;273751,33245545754;
93;273751,33245545754;
94;273751,33245545754;
95;273751,33245545754;
96;273751,33245545754;
97;273751,33245545754;
98;273751,33245545754;
99;273751,33245545754;
